"","user","friend"
"1","200492840","487118986"
"2","200492840","2828212668"
"3","200492840","148332642"
"4","200492840","282006208"
"5","200492840","323854120"
"6","200492840","442178445"
"7","200492840","1441046953"
"8","200492840","249212923"
"9","200492840","2783721467"
"10","200492840","851748824754380800"
"11","200492840","511402689"
"12","200492840","701998468395438081"
"13","200492840","1077726901467197440"
"14","200492840","204832963"
"15","200492840","1052781318419841025"
"16","200492840","3092671744"
"17","200492840","13615722"
"18","200492840","266612868"
"19","200492840","2276246437"
"20","200492840","736384867181547520"
"21","200492840","707310584"
"22","200492840","784892570"
"23","200492840","1463467434"
"24","200492840","78879048"
"25","200492840","3099316873"
"26","200492840","3404632912"
"27","200492840","2993230373"
"28","200492840","20880206"
"29","200492840","151319457"
"30","200492840","255866913"
"31","200492840","393838920"
"32","200492840","3021760068"
"33","200492840","125923625"
"34","200492840","346303384"
"35","200492840","1138467176"
"36","200492840","600673907"
"37","200492840","3184723542"
"38","200492840","2915401872"
"39","200492840","177848697"
"40","200492840","600873456"
"41","200492840","90363665"
"42","200492840","104695582"
"43","200492840","248502471"
"44","200492840","2989211223"
"45","200492840","281999519"
"46","200492840","772689620576395264"
"47","200492840","201521121"
"48","200492840","220151003"
"49","200492840","3522129133"
"50","200492840","1335525252"
"51","200492840","621519592"
"52","200492840","1573649600"
"53","200492840","16548023"
"54","200492840","68577507"
"55","200492840","962406389271298048"
"56","200492840","946404316989947904"
"57","200492840","892007632537477120"
"58","200492840","710579875"
"59","200492840","1056515161"
"60","200492840","1087486711"
"61","200492840","911412894419451904"
"62","200492840","316731185"
"63","200492840","3003743254"
"64","200492840","840602408766046208"
"65","200492840","3580004117"
"66","200492840","2541004072"
"67","200492840","70345946"
"68","200492840","2803390387"
"69","200492840","441271748"
"70","200492840","1566463268"
"71","200492840","598808281"
"72","200492840","2360511"
"73","200492840","471436748"
"74","200492840","257302388"
"75","200492840","341643950"
"76","200492840","285019665"
"77","200492840","2546507294"
"78","200492840","1668100142"
"79","200492840","44196397"
"80","200492840","996740737348743168"
"81","200492840","760732542"
"82","200492840","3278869987"
"83","200492840","3306970379"
"84","200492840","2220145290"
"85","200492840","3319169341"
"86","200492840","432962544"
"87","200492840","2493957026"
"88","200492840","2602602804"
"89","200492840","972651"
"90","200492840","190535830"
"91","200492840","2266911956"
"92","200492840","542377830"
"93","200492840","1869673304"
"94","200492840","4847322466"
"95","200492840","907832023573811200"
"96","200492840","59949396"
"97","200492840","217542478"
"98","200492840","38146999"
"99","200492840","17463923"
"100","200492840","761568335138058240"
"101","200492840","352515718"
"102","200492840","27860681"
"103","200492840","34713362"
"104","200492840","153667051"
"105","200492840","123625493"
"106","200492840","281090737"
"107","200492840","553195963"
"108","200492840","165699676"
"109","200492840","1492231280"
"110","200492840","204585100"
"111","200492840","616209749"
"112","200492840","131102007"
"113","200492840","562641129"
"114","200492840","146898589"
"115","200492840","588243809"
"116","200492840","348936490"
"117","200492840","2368282524"
"118","200492840","1684616162"
"119","200492840","252007742"
"120","200492840","374209360"
"121","200492840","1517067559"
"122","200492840","1937328660"
"123","200492840","1474528434"
"124","200492840","587395761"
"125","200492840","2351728296"
"126","200492840","367758727"
"127","200492840","1450784263"
"128","200492840","579579919"
"129","200492840","562645195"
"130","200492840","1088547781"
"131","200492840","2233848732"
"132","200492840","612270049"
"133","200492840","573209261"
"134","200492840","592718152"
"135","200492840","274566016"
"136","200492840","1180089056"
"137","200492840","431339855"
"138","200492840","494955447"
"139","200492840","1261441938"
"140","200492840","109802147"
"141","200492840","553285974"
"142","200492840","345811633"
"143","200492840","845012778"
"144","200492840","59752606"
"145","200492840","1659165650"
"146","200492840","294509111"
"147","200492840","86897287"
"148","200492840","1258659444"
"149","200492840","108983226"
"150","200492840","409797508"
"151","200492840","315591501"
"152","200492840","617903994"
"153","200492840","1868078274"
"154","200492840","104311037"
"155","200492840","124408710"
"156","200492840","62031422"
"157","200492840","55778867"
"158","200492840","86064720"
"159","200492840","489365355"
"160","200492840","92234668"
"161","200492840","635393325"
"162","200492840","103709959"
"163","200492840","467063905"
"164","200492840","570106832"
"165","200492840","544349088"
"166","200492840","421791178"
"167","200492840","365467715"
"168","200492840","219032305"
"169","200492840","1314036157"
"170","200492840","1195794432"
"171","200492840","363555830"
"172","200492840","533828505"
"173","200492840","140070953"
"174","200492840","1138873116"
"175","200492840","624451967"
"176","200492840","234790488"
"177","200492840","1259255408"
"178","200492840","442759149"
"179","200492840","749345802"
"180","200492840","1256326369"
"181","200492840","877584355"
"182","200492840","235093568"
"183","200492840","472385266"
"184","200492840","114634984"
"185","200492840","108548888"
"186","200492840","941363953"
"187","200492840","326818912"
"188","200492840","560797077"
"189","200492840","977844114"
"190","200492840","171503069"
"191","200492840","768908522"
"192","200492840","108611435"
"193","200492840","267004993"
"194","200492840","77271371"
"195","200492840","326646285"
"196","200492840","92922162"
"197","200492840","363593053"
"198","200492840","86303083"
"199","200492840","475860688"
"200","200492840","270782377"
"201","200492840","328236920"
"202","200492840","80808072"
"203","200492840","803561298"
"204","200492840","632184762"
"205","200492840","216664296"
"206","200492840","79142229"
"207","200492840","333972193"
"208","200492840","179896321"
"209","200492840","614852988"
"210","200492840","309648980"
